Disease,Disease_num
bladder disorder,479
fibrocystic breast disease,480
urethral disorder,481
tracheitis,482
von willebrand disease,483
polycystic ovarian syndrome (pcos),484
rheumatoid arthritis,485
meniere disease,486
diabetic ketoacidosis,487
pterygium,488
gum disease,489
adrenal cancer,490
paroxysmal ventricular tachycardia,491
prostatitis,492
mittelschmerz,493
pulmonic valve disease,494
threatened pregnancy,495
dislocation of the shoulder,496
intestinal obstruction,497
chickenpox,498
retinal detachment,499
skin pigmentation disorder,500
paronychia,501
esophagitis,502
diabetes,503
endometrial cancer,504
ovarian torsion,505
hypergammaglobulinemia,506
acariasis,507
narcolepsy,508
spontaneous abortion,509
poisoning due to ethylene glycol,510
postpartum depression,511
crushing injury,512
mucositis,513
otosclerosis,514
spinal stenosis,515
magnesium deficiency,516
colorectal cancer,517
benign kidney cyst,518
hirschsprung disease,519
head and neck cancer,520
hemarthrosis,521
primary thrombocythemia,522
viral exanthem,523
thrombophlebitis,524
pyloric stenosis,525
edward syndrome,526
dislocation of the foot,527
fracture of the rib,528
acute fatty liver of pregnancy (aflp),529
pneumoconiosis,530
endophthalmitis,531
irritable bowel syndrome,532
ectropion,533
heart failure,534
choledocholithiasis,535
poisoning due to sedatives,536
urethral stricture,537
sepsis,538
atrophic skin condition,539
juvenile rheumatoid arthritis,540
vertebrobasilar insufficiency,541
pain after an operation,542
insulin overdose,543
placenta previa,544
conjunctivitis due to bacteria,545
atrophic vaginitis,546
dislocation of the hip,547
pregnancy,548
varicose veins,549
nose disorder,550
herniated disk,551
diabetic retinopathy,552
malignant hypertension,553
sick sinus syndrome,554
lewy body dementia,555
atonic bladder,556
lymphadenitis,557
hashimoto thyroiditis,558
metabolic disorder,559
open wound of the knee,560
nasal polyp,561
infection of open wound,562
ischemic heart disease,563
vocal cord polyp,564
stye,565
meningitis,566
social phobia,567
diaper rash,568
fungal infection of the hair,569
injury to internal organ,570
breast infection (mastitis),571
cholesteatoma,572
coronary atherosclerosis,573
oppositional disorder,574
cysticercosis,575
syringomyelia,576
central retinal artery or vein occlusion,577
hypertrophic obstructive cardiomyopathy (hocm),578
birth trauma,579
iron deficiency anemia,580
sjogren syndrome,581
acute otitis media,582
placental abruption,583
tonsillitis,584
tinnitus of unknown cause,585
fracture of the facial bones,586
premature ventricular contractions (pvcs),587
open wound of the neck,588
chronic back pain,589
tendinitis,590
hyperkalemia,591
idiopathic nonmenstrual bleeding,592
esophageal cancer,593
whooping cough,594
premature ovarian failure,595
cardiac arrest,596
psychotic disorder,597
intracerebral hemorrhage,598
athlete's foot,599
cellulitis or abscess of mouth,600
carbon monoxide poisoning,601
dislocation of the knee,602
optic neuritis,603
teething syndrome,604
male genitalia infection,605
spinocerebellar ataxia,606
celiac disease,607
lateral epicondylitis (tennis elbow),608
toxoplasmosis,609
broken tooth,610
fracture of the neck,611
normal pressure hydrocephalus,612
idiopathic absence of menstruation,613
dry eye of unknown cause,614
blepharitis,615
primary insomnia,616
hemangioma,617
fracture of the skull,618
dislocation of the patella,619
torticollis,620
factitious disorder,621
lymphogranuloma venereum,622
g6pd enzyme deficiency,623
ankylosing spondylitis,624
stroke,625
vesicoureteral reflux,626
open wound of the foot,627
urge incontinence,628
lumbago,629
glucocorticoid deficiency,630
atrial flutter,631
intussusception,632
primary immunodeficiency,633
fracture of the finger,634
omphalitis,635
subacute thyroiditis,636
osteochondroma,637
acute bronchiolitis,638
amyotrophic lateral sclerosis (als),639
inguinal hernia,640
interstitial lung disease,641
tic (movement) disorder,642
attention deficit hyperactivity disorder (adhd),643
trigeminal neuralgia,644
bell palsy,645
diabetic kidney disease,646
varicocele of the testicles,647
eating disorder,648
histoplasmosis,649
open wound of the cheek,650
urinary tract infection,651
meckel diverticulum,652
fracture of the ankle,653
heart block,654
adrenal adenoma,655
epidural hemorrhage,656
transient ischemic attack,657
hypoglycemia,658
fracture of the vertebra,659
scoliosis,660
female infertility of unknown cause,661
muscle spasm,662
cardiomyopathy,663
foreign body in the vagina,664
myelodysplastic syndrome,665
fracture of the leg,666
phimosis,667
knee ligament or meniscus tear,668
chronic sinusitis,669
graves disease,670
human immunodeficiency virus infection (hiv),671
ascending cholangitis,672
primary kidney disease,673
myositis,674
stricture of the esophagus,675
vitamin b12 deficiency,676
bursitis,677
skin cancer,678
anemia,679
avascular necrosis,680
yeast infection,681
seasonal allergies (hay fever),682
zenker diverticulum,683
asthma,684
osteoarthritis,685
sickle cell crisis,686
degenerative disc disease,687
amyloidosis,688
hormone disorder,689
dementia,690
osteochondrosis,691
cystitis,692
cirrhosis,693
gastritis,694
aphthous ulcer,695
essential tremor,696
dissociative disorder,697
rosacea,698
neuralgia,699
depression,700
common cold,701
pyogenic skin infection,702
sinus bradycardia,703
substance-related mental disorder,704
syndrome of inappropriate secretion of adh (siadh),705
pemphigus,706
pulmonary fibrosis,707
mitral valve disease,708
conjunctivitis due to allergy,709
autism,710
myasthenia gravis,711
chronic rheumatic fever,712
tooth disorder,713
melanoma,714
drug abuse (methamphetamine),715
labyrinthitis,716
lice,717
sprain or strain,718
endometriosis,719
fracture of the arm,720
obsessive compulsive disorder (ocd),721
cerebral palsy,722
glaucoma,723
thoracic outlet syndrome,724
open wound of the finger,725
alcohol abuse,726
plantar fasciitis,727
cervicitis,728
corneal abrasion,729
insect bite,730
thyroid cancer,731
trichomonas infection,732
chronic constipation,733
peritonitis,734
acute stress reaction,735
presbyacusis,736
chlamydia,737
cyst of the eyelid,738
jaw disorder,739
lyme disease,740
leukemia,741
carpal tunnel syndrome,742
oral leukoplakia,743
post-traumatic stress disorder (ptsd),744
vulvar disorder,745
hydatidiform mole,746
open wound of the head,747
lymphangitis,748
brain cancer,749
uterine atony,750
thoracic aortic aneurysm,751
personality disorder,752
trichiasis,753
ileus,754
herpangina,755
premature atrial contractions (pacs),756
dyshidrosis,757
spondylosis,758
congenital malformation syndrome,759
wilson disease,760
decubitus ulcer,761
dislocation of the ankle,762
brachial neuritis,763
tension headache,764
anemia due to chronic kidney disease,765
allergy to animals,766
aphakia,767
induced abortion,768
pelvic inflammatory disease,769
thyroid nodule,770
diverticulitis,771
eustachian tube dysfunction (ear disorder),772
